Country,Score,Rank,Continent
Mexico,0.66,28,North America
Micronesia,0.044,157,Asia
Moldova,0.418,72,Former USSR
Monaco,0.236,102,Europe
Mongolia,0.228,103,Asia
Montenegro,0.422,70,Europe
Morocco,0.541,49,Middle East
Mozambique,0.206,108,Africa
Myanmar,0.263,99,Asia
Namibia,0.066,150,Africa
Nauru,0.14,126,Asia
Nepal,0.275,93,Asia
Netherlands,0.76,15,Europe
New Zealand,0.718,19,Asia
Nicaragua,0.146,124,North America
Niger,0.17,119,Africa
Nigeria,0.569,46,Africa
Norway,0.786,11,Europe
Oman,0.871,4,Middle East
Pakistan,0.447,66,Asia
Palau,0.053,155,Asia
Panama,0.485,61,South America
Papua New Guinea,0.067,149,Asia
Paraguay,0.326,86,South America
Peru,0.374,78,South America
Philippines,0.594,37,Asia
Poland,0.622,33,Europe
Portugal,0.508,55,Europe
Qatar,0.676,25,Middle East
Republic of Korea,0.782,13,Asia
Romania,0.585,42,Europe
Russian Federation,0.788,10,Former USSR
Rwanda,0.602,36,Africa
Saint Kitts and Nevis,0.066,150,North America
Saint Lucia,0.053,155,North America
Saint Vincent and the Grenadines,0.189,113,North America
Samoa,0.048,156,Asia
San Marino,0.174,117,Europe
Sao Tome and Principe,0.04,160,Africa
Saudi Arabia,0.569,46,Middle East
Senegal,0.314,88,Africa
Serbia,0.311,89,Europe
Seychelles,0.184,114,Africa
Sierra Leone,0.145,125,Africa
Singapore,0.925,1,Asia
Slovakia,0.362,81,Europe
Slovenia,0.343,83,Europe
Solomon Islands,0.095,141,Asia
Somalia,0.034,161,Middle East
South Africa,0.502,57,Africa
South Sudan,0.067,149,Africa
Spain,0.718,19,Europe
Sri Lanka,0.419,71,Asia
State of Palestine,0.228,103,Middle East
Sudan,0.271,95,Middle East
Suriname,0.155,122,South America
Swaziland,0.041,159,Africa
Sweden,0.733,17,Europe
Switzerland,0.727,18,Europe
Syrian Arab Republic,0.237,101,Middle East
Tajikistan,0.292,90,Former USSR
Tanzania,0.317,87,Africa
Thailand,0.684,22,Asia
The former Yugoslav Republic of Macedonia,0.517,54,Europe
Timor-Leste,0.034,161,Asia
Togo,0.218,106,Africa
Tonga,0.292,90,Asia
Trinidad and Tobago,0.098,140,North America
Tunisia,0.591,40,Middle East
Turkey,0.581,43,Europe
Turkmenistan,0.133,131,Former USSR
Tuvalu,0.034,161,Asia
Uganda,0.536,50,Africa
Ukraine,0.501,58,Former USSR
United Arab Emirates,0.566,47,Middle East
United Kingdom of Great Britain and Northern Ireland,0.783,12,Europe
United States of America,0.919,2,North America
Uruguay,0.647,29,South America
Uzbekistan,0.277,92,Former USSR
Vanuatu,0.134,130,Asia
Vatican,0.04,160,Europe
Venezuela,0.372,79,South America
Viet Nam,0.245,100,Asia
Yemen,0.007,163,Middle East
Zambia,0.292,90,Africa
Zimbabwe,0.192,112,Africa
